number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
7,Add dockerfiler & docker compose,Jonathan-Adly,2023-11-16T18:16:55Z,2023-11-20T02:54:38+00:00,4,80.63
50,fix#48: open-ai-api from docker build,GsnMithra,2023-11-20T12:53:22Z,2023-11-30T17:14:07+00:00,2,244.35
58,Feat: fix flashing issue when updating code and enable code edit,clean99,2023-11-21T01:41:57Z,2023-11-22T03:09:15+00:00,1,25.45
62,Feat: OpenAI Base URL supported,Nothing1024,2023-11-21T08:08:49Z,2023-11-30T17:08:52+00:00,2,225.0
63,Feat: add stop button when generating code,clean99,2023-11-21T08:21:27Z,2023-11-21T16:09:08+00:00,3,7.79
65,feat: add local storage functionality to track acceptance of terms,vagusX,2023-11-21T08:57:28Z,2023-11-22T03:18:08+00:00,2,18.34
99,add support open in codepen.io ,dialmedu,2023-11-25T06:24:59Z,2023-11-27T03:33:44+00:00,2,45.15
115,Dark mode.,kachbit,2023-11-28T05:53:26Z,2023-11-30T14:00:03+00:00,5,56.11
170,Fix parameter typing for generateCode,AlexLloyd0,2023-12-08T00:19:23Z,2023-12-11T23:23:18+00:00,1,95.07
233,Update core.py,Khajaamee455,2024-02-23T09:07:14Z,2024-03-05T17:27:32+00:00,1,272.34
341,handle none type in llm.py,naman1608,2024-05-24T19:03:19Z,2024-05-31T19:04:32+00:00,2,168.02
353,[FIX] modify frontend dockerfile to skip puppeteer download,naman1608,2024-06-04T19:02:42Z,2024-06-05T19:26:33+00:00,1,24.4
415,"build: migrate to uv, standardize packging",mokurin000,2024-10-17T19:38:13Z,2025-01-08T22:10:25+00:00,1,1994.54
424,chore: update PreviewComponent.tsx,eltociear,2024-11-05T09:16:57Z,2025-08-21T02:27:19+00:00,1,6929.17
