number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2618,Update tr_TR.txt,BatuhanDg,2023-10-18T08:22:40Z,2024-05-19T08:29:13+00:00,1,5136.11,True,9,9,1,39,0,0,0,MERGED
2488,fix Synchronous Exception on some arm cpus,amazingfate,2023-07-19T15:39:40Z,2023-07-20T02:56:55+00:00,1,11.29,True,3,1,1,385,8,0,8,MERGED
2378,Added Slovenian language,BlazOsredkar,2023-05-03T08:27:08Z,2023-06-23T08:26:19+00:00,1,1223.99,True,93,0,1,42,0,0,0,MERGED
2368,Environment typos,ngaro,2023-04-24T02:48:29Z,2023-06-23T08:24:36+00:00,1,1445.6,True,7,7,4,52,0,0,0,MERGED
2330,Correct some English in the README and change some elements,unknown,2023-04-02T15:32:54Z,2023-12-07T21:03:19+00:00,1,5981.51,False,53,54,1,251,1,0,1,CLOSED
2247,Fix typo in EXT/README.txt,eltociear,2023-02-14T06:04:43Z,2023-02-18T13:31:38+00:00,1,103.45,True,1,1,1,15,0,0,0,MERGED
2190,fixed russian translation,YALdysse,2023-01-24T22:28:35Z,2023-02-02T07:49:43+00:00,1,201.35,True,3,3,1,0,1,0,1,MERGED
2189,fixed russian translation,YALdysse,2023-01-24T22:23:41Z,2023-02-02T07:49:28+00:00,1,201.43,True,10,10,1,0,1,0,1,MERGED
2188,Update ko_KR.txt,VenusGirl,2023-01-23T20:45:59Z,2023-02-02T07:48:44+00:00,3,227.05,True,4,4,1,0,1,0,1,MERGED
2177,Update ko_KR.json,VenusGirl,2023-01-18T11:17:34Z,2023-02-02T07:47:49+00:00,4,356.5,True,20,3,1,0,0,0,0,MERGED
2135,Add Spanish Translation (json/txt) grub menu,MELERIX,2023-01-04T20:17:57Z,2023-01-06T04:23:05+00:00,2,32.09,True,112,0,2,0,1,0,1,MERGED
2024,grub/help/en_US: Fix typos,kbdharun,2022-12-04T07:09:12Z,2022-12-04T09:37:25+00:00,3,2.47,True,5,5,1,0,8,3,11,MERGED
1998,add belarussian and update ukranian and russian,dmitrygribenchuk,2022-12-01T21:23:36Z,2022-12-02T03:42:59+00:00,1,6.32,True,74,11,1,63,2,0,2,MERGED
1961,Update Spanish (Latinoamérica) translation,MELERIX,2022-11-17T16:10:17Z,2022-11-18T07:25:39+00:00,1,15.26,True,1,1,1,0,2,0,2,MERGED
1755,add georgian language,Ali-googoojani,2022-07-25T18:14:41Z,2022-07-26T03:14:23+00:00,1,8.99,True,58,0,1,0,1,0,1,MERGED
1731,Update url,Gelma,2022-07-13T19:41:11Z,2024-05-19T08:15:13+00:00,1,16212.57,False,46,46,1,61,1,1,2,CLOSED
1077,Update languages.json (Turkish),oersen,2021-08-28T11:53:07Z,2021-08-30T10:06:58+00:00,9,46.23,True,29,29,1,0,5,7,12,MERGED
419,add GitHub actions state to README,kerolloz,2020-08-24T16:24:36Z,2022-03-26T02:51:26+00:00,3,13882.45,True,1,0,1,0,3,1,4,MERGED
297,Updates to Russian translation,DX37,2020-07-10T05:19:06Z,2020-09-24T13:02:37+00:00,2,1831.73,False,0,0,1,80,1,0,1,CLOSED
283,Arabic language update,OmarNamis,2020-07-02T20:20:00Z,2020-12-15T09:46:55+00:00,1,3973.45,False,0,0,1,0,1,0,1,CLOSED
218,Update russian language,JDM170,2020-06-10T14:10:26Z,2020-06-13T18:03:22+00:00,1,75.88,True,0,0,1,69,0,0,0,MERGED
